filename	autor	pealkiri	tokens
ilu_ahasveerus.tsv	Ene Mihkelson	Ahasveeruse uni	101195
ilu_ajalooilu.tsv	Viivi Luik	Ajaloo ilu	35095
ilu_barker.tsv	Matt Barker	jutud: Kiskja, Tunnel, Nohu, suur rahupüha, Waanenburgi tapatalgud	59225
ilu_biin_k6ik.tsv	Arne Biin	Kõik, mida pole	54025
ilu_biin_peegel.tsv	Arne Biin	Peegelleitnandid	50756
ilu_biin_voorus.tsv	Arne Biin	Voorus ja patt	46866
ilu_ego.tsv	Kadri Kõusaar	Ego	56745
ilu_ekman.tsv	Pärtel Ekman	Unikiri	50047
ilu_existerion.tsv	Veiko Belials, Marek Simpson	Existerion	32999
ilu_harm.tsv	Viiu Härm	Duubel kaks	67596
ilu_juur.tsv	Mart Juur	Arkaadi A	35964
ilu_kivirahk.tsv	Andrus Kivirähk	Tormine rand, Püha graal, Ivan Orava mälestused, Kotkas	25105
ilu_kunnas.tsv	Leo Kunnas	Sõdurjumala teener	84680
ilu_neitsist.tsv	Enn Vetemaa	Neitsist sündinud	102013
ilu_ounapuu.tsv	Ervin Õunapuu	Eesti gootika	33517
ilu_rakke_susanna.tsv	Kerttu Rakke	Susanna ja mina	52806
ilu_rakke_mitu_juttu.tsv	Kerttu Rakke	Mitu juttu	59322
ilu_rakke_iluasi.tsv	Kerttu Rakke	Iluasi	32611
ilu_raudam.tsv	Toomas Raudam	Jutud: Jaak Kino, Kino-Mati ja teised; Minu mina; Muusika	170336
ilu_remsu.tsv	Olev Remsu	Margit Puusaag ja tema mehed	89679
ilu_sauter.tsv	Peeter Sauter	jutud: ’Kuidas naisi ära rääkida’, ’ Miks ma faking kopitraiterina pean ennast õigustama?’, ’Nokk jääb kinni’, Miks eesti mehed ei flirdi enam naistega nagu varem?, Bohh dai tebje stshastje v zhisni, Kommude käekäigust, Miks eesti mehed ei käi lõbumajas?, Luulekool1, Luulekool2, Paksusest ja seksist, ’Pori’, Võib olla ka kombeks mitu presidenti korraga, Psühholoog otsib jumalat, Rakvere teatri omadega aega surnuks löömas. Ja muudki, Lapsed, raamat ja vein, Rongid, viin ja nõukogude vene - kõik me oleme pärit oma lapsepõlvest., Sõjaväest, Suhted, mida mehed kahetsevad, Terviseks!, ’Miks ma ei taha üksi elada’	44749
ilu_seitsmes.tsv	Viivi Luik	Seitsmes rahukevad	70819
ilu_simpson.tsv	Marek Simpson	jutud: Marek Simpsoni jutud ’Esimese astme kontakt’, ’Megasiti keiss’, ’Loomulik vajadus’, ’Surmaga silmitsi’, ’’Olukord delta red’, ’Võitleja’, ’Õigus tappa’, ’Game over’, ’Kõik need üksikud inimesed’, ’Hunt’, ’Projekt „Invasioon“’, ’Koletis’, ’Matke mu süda eikuhugi’, ’Eluülesanne’, ’Kinnine ring’, ’Tulek’	19141
